,身份证号,姓名,生日,性别,家庭住址
0,'431228200003269035 ,李秀芳,2000-03-26,男,河南省芳市徐汇杨路Y座 215194
1,'640401199503288631 ,杨燕,1995-03-28,男,山东省长沙市平山东莞路j座 289819
2,'640423200603258011 ,相雪梅,2006-03-25,男,湖南省芳市吉区广州街Q座 306209
3,'13098319970327771X ,王莹,1997-03-27,男,江西省玉市大兴曾街u座 734448
4,'210922199203282587 ,何建军,1992-03-28,女,甘肃省桂芳县城东阎路K座 722347
5,'440513200703251832 ,刘雪梅,2007-03-25,男,湖北省想县新城沈阳路y座 232241
6,'140430199503280887 ,陆敏,1995-03-28,女,黑龙江省关岭市朝阳金街P座 202258
7,'430822200003266882 ,钟慧,2000-03-26,女,贵州省伟市清浦辽阳路q座 957431
8,'411200199203287451 ,侯欣,1992-03-28,男,吉林省英市浔阳通辽路i座 590931
9,'230204200803244881 ,罗秀华,2008-03-24,女,天津市玉华市沈河汕尾街M座 716742
10,'220600200703250437 ,叶荣,2007-03-25,男,甘肃省沈阳县高港陈路O座 289702
11,'360323199703273341 ,曾冬梅,1997-03-27,女,西藏自治区杭州市兴山南昌街n座 946452
12,'440000199403283897 ,刘鹏,1994-03-28,男,湖北省六安市金平拉萨街K座 771865
13,'320118200603251256 ,常桂花,2006-03-25,男,上海市阳市丰都深圳路o座 419175
14,'440501199703276043 ,李桂珍,1997-03-27,女,西藏自治区龙县高坪郑州街B座 562154
15,'410183199903272503 ,刘刚,1999-03-27,女,上海市龙县锡山王路e座 420882
16,'131002199603270207 ,李想,1996-03-27,女,天津市南昌县淄川石家庄路f座 928489
17,'622924200703252276 ,赵金凤,2007-03-25,男,湖南省合肥县山亭徐街Y座 471810
18,'632323199503285054 ,赵秀珍,1995-03-28,男,山东省成都市双滦阜新路g座 270237
19,'350624200303264995 ,蔡秀荣,2003-03-26,男,湖南省兴安盟县长寿束街Y座 422795
20,'350424200003260860 ,王旭,2000-03-26,女,四川省北镇市萧山呼和浩特路A座 767298
21,'640202199203286250 ,卢博,1992-03-28,男,辽宁省大冶市白云叶路H座 168888
22,'37080020010326349X ,陈俊,2001-03-26,男,黑龙江省军县涪城宜都街U座 505343
23,'431128200303264329 ,李凯,2003-03-26,女,西藏自治区飞市沙湾胡路f座 275351
24,'620201200703250348 ,李婷婷,2007-03-25,女,陕西省旭县龙潭李街Q座 666506
25,'420922200703254878 ,赵莉,2007-03-25,男,青海省红霞县朝阳李路O座 254797
26,'450205200003268874 ,潘旭,2000-03-26,男,青海省梧州县长寿赵街H座 945894
27,'230300200503251879 ,房刚,2005-03-25,男,新疆维吾尔自治区玉珍县怀柔长沙街C座 406412
28,'611002200203269434 ,李桂英,2002-03-26,男,湖北省辉市牧野潮州路v座 695084
29,'500120200303264907 ,夏倩,2003-03-26,女,上海市宇市西峰李街V座 126839
30,'360735200103266941 ,阎秀荣,2001-03-26,女,湖北省张家港市花溪海门路r座 313656
